breakfast,lunch,dinner,snack,nutrition_goal
Idli,Masoor Dal,Roti (Wheat Flatbread),Peanuts (Badaam),muscle_gain
Granola,Dal Bhat,Mutton Curry,Apple (Syau),muscle_gain
Milk Tea (Chiya),Vegetable Biryani,Tofu Stir Fry,Fruit Salad (Phalphul),weight_loss
Idli,Masoor Dal,Saag (Leafy Green Curry),Lapsi Candy (Hog Plum),weight_gain
Cereal (Corn Flakes),Mixed Vegetable Curry,Mutton Curry,Apple (Syau),maintenance
Muesli,Gundruk,Mutton Curry,Peanuts (Badaam),muscle_gain
Scrambled Eggs,Chicken Curry,Buff Choila,Banana (Kera),weight_gain
Poha (Flattened Rice),Thukpa (Noodle Soup),Brown Rice,Chatpate,weight_loss
Cereal (Corn Flakes),Chapati with Sabzi,Mutton Curry,Sprouts Salad,weight_gain
Bara (Black Lentil Pancake),Chicken Curry,Dal Bhat,Popcorn,weight_gain
Muesli,Khichdi,Tofu Stir Fry,Sprouts Salad,weight_gain
Muesli,Momo (Steamed Dumpling),Vegetable Soup,Sprouts Salad,weight_loss
Bara (Black Lentil Pancake),Dal Bhat,Curd Rice,Sprouts Salad,weight_gain
Idli,Dal Bhat,Roti (Wheat Flatbread),Banana (Kera),maintenance
Milk Tea (Chiya),Vegetable Biryani,Dal Bhat,Fruit Salad (Phalphul),muscle_gain
Granola,Momo (Steamed Dumpling),Grilled Chicken Breast,Mixed Green Salad,muscle_gain
Poha (Flattened Rice),Khichdi,Buff Choila,Fruit Salad (Phalphul),weight_loss
Oatmeal (Jaulo),Masoor Dal,Mutton Curry,Sprouts Salad,weight_gain
Poha (Flattened Rice),Masoor Dal,Buff Choila,Roasted Corn (Bilaune Makai),weight_gain
Milk Tea (Chiya),Chicken Curry,Mutton Curry,Popcorn,muscle_gain
Granola,Momo (Steamed Dumpling),Buff Choila,Lapsi Candy (Hog Plum),maintenance
Scrambled Eggs,Vegetable Biryani,Buff Choila,Sprouts Salad,weight_gain
Granola,Thukpa (Noodle Soup),Mutton Curry,Apple (Syau),weight_loss
Muesli,Momo (Steamed Dumpling),Curd Rice,Lapsi Candy (Hog Plum),muscle_gain
Idli,Gundruk,Brown Rice,Peanuts (Badaam),maintenance
Boiled Egg,Vegetable Biryani,Fish Curry (Macha Ko Jhol),Fruit Salad (Phalphul),maintenance
Cereal (Corn Flakes),Masoor Dal,Fish Curry (Macha Ko Jhol),Banana (Kera),maintenance
Milk Tea (Chiya),Thukpa (Noodle Soup),Curd Rice,Lapsi Candy (Hog Plum),weight_gain
Roti (Wheat Flatbread),Paneer Curry,Vegetable Soup,Sprouts Salad,weight_gain
Idli,Khichdi,Vegetable Soup,Lapsi Candy (Hog Plum),weight_loss
Roti (Wheat Flatbread),Vegetable Biryani,Buff Choila,Protein Bar,muscle_gain
Idli,Chapati with Sabzi,Brown Rice,Yogurt (Dahi),maintenance
Boiled Egg,Masoor Dal,Mutton Curry,Sprouts Salad,muscle_gain
Idli,Mixed Vegetable Curry,Tofu Stir Fry,Protein Bar,weight_loss
Roti (Wheat Flatbread),Khichdi,Fish Curry (Macha Ko Jhol),Mixed Green Salad,weight_gain
Bara (Black Lentil Pancake),Gundruk,Chicken Soup,Peanuts (Badaam),weight_gain
Sel Roti,Khichdi,Fish Curry (Macha Ko Jhol),Chatpate,muscle_gain
Sel Roti,Chapati with Sabzi,Chicken Soup,Popcorn,weight_loss
Sel Roti,Momo (Steamed Dumpling),Buff Choila,Mixed Green Salad,weight_loss
Cereal (Corn Flakes),Chapati with Sabzi,Brown Rice,Mixed Green Salad,weight_gain
Milk Tea (Chiya),Momo (Steamed Dumpling),Curd Rice,Peanuts (Badaam),weight_loss
Roti (Wheat Flatbread),Paneer Curry,Chicken Soup,Lapsi Candy (Hog Plum),weight_gain
Cereal (Corn Flakes),Khichdi,Dal Bhat,Lapsi Candy (Hog Plum),weight_gain
Poha (Flattened Rice),Aloo Tama (Potato Bamboo Curry),Buff Choila,Roasted Corn (Bilaune Makai),weight_loss
Muesli,Chicken Curry,Chicken Soup,Apple (Syau),weight_loss
Idli,Paneer Curry,Chicken Soup,Chatpate,weight_loss
Chiura (Beaten Rice),Dal Bhat,Tofu Stir Fry,Sprouts Salad,muscle_gain
Cereal (Corn Flakes),Gundruk,Buff Choila,Peanuts (Badaam),weight_loss
Granola,Paneer Curry,Tofu Stir Fry,Lapsi Candy (Hog Plum),maintenance
Muesli,Momo (Steamed Dumpling),Mutton Curry,Yogurt (Dahi),weight_gain
Oatmeal (Jaulo),Chicken Curry,Saag (Leafy Green Curry),Popcorn,muscle_gain
Cereal (Corn Flakes),Khichdi,Grilled Chicken Breast,Chatpate,muscle_gain
Chiura (Beaten Rice),Thukpa (Noodle Soup),Vegetable Soup,Popcorn,weight_loss
Boiled Egg,Chapati with Sabzi,Buff Choila,Roasted Corn (Bilaune Makai),muscle_gain
Bara (Black Lentil Pancake),Mixed Vegetable Curry,Grilled Chicken Breast,Mixed Green Salad,maintenance
Oatmeal (Jaulo),Mixed Vegetable Curry,Saag (Leafy Green Curry),Popcorn,weight_loss
Scrambled Eggs,Chapati with Sabzi,Chicken Soup,Peanuts (Badaam),weight_loss
Boiled Egg,Vegetable Biryani,Mutton Curry,Mixed Green Salad,muscle_gain
Chiura (Beaten Rice),Dal Bhat,Brown Rice,Sprouts Salad,muscle_gain
Scrambled Eggs,Dal Bhat,Curd Rice,Sprouts Salad,weight_loss
Chiura (Beaten Rice),Thukpa (Noodle Soup),Saag (Leafy Green Curry),Fruit Salad (Phalphul),maintenance
Bara (Black Lentil Pancake),Momo (Steamed Dumpling),Buff Choila,Sprouts Salad,muscle_gain
Oatmeal (Jaulo),Paneer Curry,Grilled Chicken Breast,Roasted Corn (Bilaune Makai),maintenance
Granola,Chapati with Sabzi,Chicken Soup,Apple (Syau),muscle_gain
Granola,Gundruk,Roti (Wheat Flatbread),Mixed Green Salad,maintenance
Poha (Flattened Rice),Aloo Tama (Potato Bamboo Curry),Mutton Curry,Protein Bar,weight_loss
Cereal (Corn Flakes),Vegetable Biryani,Vegetable Soup,Popcorn,maintenance
Scrambled Eggs,Chapati with Sabzi,Fish Curry (Macha Ko Jhol),Sprouts Salad,muscle_gain
Milk Tea (Chiya),Masoor Dal,Mutton Curry,Roasted Corn (Bilaune Makai),weight_loss
Milk Tea (Chiya),Dal Bhat,Vegetable Soup,Lapsi Candy (Hog Plum),weight_gain
Idli,Masoor Dal,Grilled Chicken Breast,Banana (Kera),weight_gain
Cereal (Corn Flakes),Paneer Curry,Brown Rice,Sprouts Salad,muscle_gain
Milk Tea (Chiya),Paneer Curry,Dal Bhat,Mixed Green Salad,maintenance
Idli,Vegetable Biryani,Vegetable Soup,Mixed Green Salad,weight_loss
Poha (Flattened Rice),Momo (Steamed Dumpling),Fish Curry (Macha Ko Jhol),Banana (Kera),weight_loss
Bara (Black Lentil Pancake),Thukpa (Noodle Soup),Mutton Curry,Roasted Corn (Bilaune Makai),weight_loss
Poha (Flattened Rice),Chapati with Sabzi,Roti (Wheat Flatbread),Yogurt (Dahi),maintenance
Chiura (Beaten Rice),Gundruk,Mutton Curry,Popcorn,maintenance
Sel Roti,Chicken Curry,Saag (Leafy Green Curry),Protein Bar,weight_loss
Oatmeal (Jaulo),Gundruk,Saag (Leafy Green Curry),Protein Bar,weight_gain
Poha (Flattened Rice),Aloo Tama (Potato Bamboo Curry),Roti (Wheat Flatbread),Banana (Kera),muscle_gain
Chiura (Beaten Rice),Aloo Tama (Potato Bamboo Curry),Fish Curry (Macha Ko Jhol),Protein Bar,weight_gain
Boiled Egg,Vegetable Biryani,Brown Rice,Apple (Syau),muscle_gain
Oatmeal (Jaulo),Vegetable Biryani,Grilled Chicken Breast,Chatpate,weight_loss
Milk Tea (Chiya),Masoor Dal,Buff Choila,Yogurt (Dahi),maintenance
Oatmeal (Jaulo),Thukpa (Noodle Soup),Saag (Leafy Green Curry),Lapsi Candy (Hog Plum),weight_gain
Boiled Egg,Vegetable Biryani,Tofu Stir Fry,Lapsi Candy (Hog Plum),maintenance
Granola,Momo (Steamed Dumpling),Saag (Leafy Green Curry),Banana (Kera),maintenance
Chiura (Beaten Rice),Dal Bhat,Fish Curry (Macha Ko Jhol),Fruit Salad (Phalphul),muscle_gain
Milk Tea (Chiya),Vegetable Biryani,Buff Choila,Popcorn,weight_gain
Roti (Wheat Flatbread),Gundruk,Vegetable Soup,Apple (Syau),maintenance
Granola,Chicken Curry,Curd Rice,Yogurt (Dahi),weight_gain
Cereal (Corn Flakes),Thukpa (Noodle Soup),Buff Choila,Lapsi Candy (Hog Plum),muscle_gain
Chiura (Beaten Rice),Gundruk,Chicken Soup,Popcorn,maintenance
Boiled Egg,Vegetable Biryani,Brown Rice,Fruit Salad (Phalphul),muscle_gain
Oatmeal (Jaulo),Gundruk,Fish Curry (Macha Ko Jhol),Chatpate,weight_gain
Muesli,Dal Bhat,Grilled Chicken Breast,Mixed Green Salad,muscle_gain
Poha (Flattened Rice),Aloo Tama (Potato Bamboo Curry),Tofu Stir Fry,Protein Bar,muscle_gain
Milk Tea (Chiya),Gundruk,Buff Choila,Sprouts Salad,weight_gain
Chiura (Beaten Rice),Aloo Tama (Potato Bamboo Curry),Saag (Leafy Green Curry),Sprouts Salad,muscle_gain
Roti (Wheat Flatbread),Khichdi,Tofu Stir Fry,Mixed Green Salad,maintenance
Idli,Gundruk,Brown Rice,Sprouts Salad,maintenance
Idli,Vegetable Biryani,Tofu Stir Fry,Sprouts Salad,weight_loss
Cereal (Corn Flakes),Momo (Steamed Dumpling),Fish Curry (Macha Ko Jhol),Fruit Salad (Phalphul),weight_gain
Boiled Egg,Gundruk,Dal Bhat,Protein Bar,weight_gain
Cereal (Corn Flakes),Dal Bhat,Saag (Leafy Green Curry),Roasted Corn (Bilaune Makai),muscle_gain
Poha (Flattened Rice),Vegetable Biryani,Fish Curry (Macha Ko Jhol),Yogurt (Dahi),muscle_gain
Oatmeal (Jaulo),Vegetable Biryani,Grilled Chicken Breast,Chatpate,maintenance
Poha (Flattened Rice),Chapati with Sabzi,Curd Rice,Yogurt (Dahi),muscle_gain
Idli,Thukpa (Noodle Soup),Roti (Wheat Flatbread),Peanuts (Badaam),maintenance
Poha (Flattened Rice),Vegetable Biryani,Saag (Leafy Green Curry),Yogurt (Dahi),muscle_gain
Poha (Flattened Rice),Dal Bhat,Buff Choila,Chatpate,maintenance
Cereal (Corn Flakes),Aloo Tama (Potato Bamboo Curry),Brown Rice,Fruit Salad (Phalphul),weight_loss
Milk Tea (Chiya),Dal Bhat,Mutton Curry,Popcorn,muscle_gain
Idli,Dal Bhat,Mutton Curry,Chatpate,weight_gain
Idli,Gundruk,Brown Rice,Protein Bar,maintenance
Muesli,Dal Bhat,Tofu Stir Fry,Banana (Kera),weight_loss
Idli,Vegetable Biryani,Buff Choila,Popcorn,muscle_gain
Granola,Vegetable Biryani,Vegetable Soup,Peanuts (Badaam),weight_loss
Bara (Black Lentil Pancake),Gundruk,Saag (Leafy Green Curry),Banana (Kera),weight_loss
Scrambled Eggs,Gundruk,Saag (Leafy Green Curry),Yogurt (Dahi),weight_gain
Milk Tea (Chiya),Vegetable Biryani,Brown Rice,Popcorn,muscle_gain
Scrambled Eggs,Mixed Vegetable Curry,Chicken Soup,Lapsi Candy (Hog Plum),muscle_gain
Scrambled Eggs,Vegetable Biryani,Buff Choila,Fruit Salad (Phalphul),weight_loss
Sel Roti,Thukpa (Noodle Soup),Chicken Soup,Protein Bar,maintenance
Granola,Masoor Dal,Chicken Soup,Fruit Salad (Phalphul),maintenance
Bara (Black Lentil Pancake),Aloo Tama (Potato Bamboo Curry),Tofu Stir Fry,Sprouts Salad,maintenance
Scrambled Eggs,Masoor Dal,Roti (Wheat Flatbread),Lapsi Candy (Hog Plum),weight_gain
Bara (Black Lentil Pancake),Chicken Curry,Curd Rice,Sprouts Salad,weight_loss
Poha (Flattened Rice),Mixed Vegetable Curry,Brown Rice,Mixed Green Salad,weight_gain
Poha (Flattened Rice),Dal Bhat,Brown Rice,Roasted Corn (Bilaune Makai),maintenance
Milk Tea (Chiya),Chapati with Sabzi,Fish Curry (Macha Ko Jhol),Apple (Syau),maintenance
Roti (Wheat Flatbread),Dal Bhat,Vegetable Soup,Lapsi Candy (Hog Plum),maintenance
Poha (Flattened Rice),Khichdi,Mutton Curry,Roasted Corn (Bilaune Makai),maintenance
Poha (Flattened Rice),Momo (Steamed Dumpling),Grilled Chicken Breast,Fruit Salad (Phalphul),muscle_gain
Milk Tea (Chiya),Chicken Curry,Dal Bhat,Mixed Green Salad,maintenance
Chiura (Beaten Rice),Paneer Curry,Grilled Chicken Breast,Mixed Green Salad,weight_loss
Poha (Flattened Rice),Masoor Dal,Grilled Chicken Breast,Mixed Green Salad,weight_gain
Oatmeal (Jaulo),Mixed Vegetable Curry,Brown Rice,Yogurt (Dahi),weight_loss
Boiled Egg,Aloo Tama (Potato Bamboo Curry),Chicken Soup,Chatpate,weight_loss
Poha (Flattened Rice),Mixed Vegetable Curry,Vegetable Soup,Sprouts Salad,weight_loss
Cereal (Corn Flakes),Thukpa (Noodle Soup),Brown Rice,Peanuts (Badaam),maintenance
Chiura (Beaten Rice),Gundruk,Grilled Chicken Breast,Lapsi Candy (Hog Plum),weight_loss
Chiura (Beaten Rice),Chapati with Sabzi,Grilled Chicken Breast,Roasted Corn (Bilaune Makai),weight_gain
Poha (Flattened Rice),Momo (Steamed Dumpling),Vegetable Soup,Banana (Kera),weight_loss
Boiled Egg,Masoor Dal,Curd Rice,Roasted Corn (Bilaune Makai),maintenance
Roti (Wheat Flatbread),Thukpa (Noodle Soup),Tofu Stir Fry,Sprouts Salad,weight_gain
Muesli,Chicken Curry,Buff Choila,Popcorn,weight_loss
Scrambled Eggs,Aloo Tama (Potato Bamboo Curry),Mutton Curry,Lapsi Candy (Hog Plum),weight_gain
Milk Tea (Chiya),Gundruk,Fish Curry (Macha Ko Jhol),Yogurt (Dahi),muscle_gain
Chiura (Beaten Rice),Masoor Dal,Fish Curry (Macha Ko Jhol),Roasted Corn (Bilaune Makai),weight_loss
Roti (Wheat Flatbread),Thukpa (Noodle Soup),Chicken Soup,Fruit Salad (Phalphul),muscle_gain
Granola,Mixed Vegetable Curry,Grilled Chicken Breast,Apple (Syau),maintenance
Oatmeal (Jaulo),Paneer Curry,Chicken Soup,Roasted Corn (Bilaune Makai),muscle_gain
Oatmeal (Jaulo),Aloo Tama (Potato Bamboo Curry),Roti (Wheat Flatbread),Mixed Green Salad,weight_loss
Chiura (Beaten Rice),Mixed Vegetable Curry,Saag (Leafy Green Curry),Popcorn,muscle_gain
Muesli,Chicken Curry,Saag (Leafy Green Curry),Sprouts Salad,weight_gain
Sel Roti,Aloo Tama (Potato Bamboo Curry),Fish Curry (Macha Ko Jhol),Banana (Kera),muscle_gain
Boiled Egg,Paneer Curry,Vegetable Soup,Roasted Corn (Bilaune Makai),maintenance
Granola,Momo (Steamed Dumpling),Grilled Chicken Breast,Banana (Kera),maintenance
Bara (Black Lentil Pancake),Masoor Dal,Fish Curry (Macha Ko Jhol),Protein Bar,weight_loss
Roti (Wheat Flatbread),Mixed Vegetable Curry,Grilled Chicken Breast,Sprouts Salad,maintenance
Poha (Flattened Rice),Mixed Vegetable Curry,Dal Bhat,Fruit Salad (Phalphul),muscle_gain
Granola,Masoor Dal,Brown Rice,Fruit Salad (Phalphul),weight_gain
Muesli,Aloo Tama (Potato Bamboo Curry),Vegetable Soup,Lapsi Candy (Hog Plum),muscle_gain
Muesli,Khichdi,Grilled Chicken Breast,Chatpate,muscle_gain
Sel Roti,Masoor Dal,Saag (Leafy Green Curry),Sprouts Salad,maintenance
Roti (Wheat Flatbread),Paneer Curry,Tofu Stir Fry,Fruit Salad (Phalphul),weight_loss
Scrambled Eggs,Masoor Dal,Fish Curry (Macha Ko Jhol),Protein Bar,weight_gain
Scrambled Eggs,Chapati with Sabzi,Roti (Wheat Flatbread),Lapsi Candy (Hog Plum),maintenance
Scrambled Eggs,Dal Bhat,Buff Choila,Banana (Kera),muscle_gain
Cereal (Corn Flakes),Momo (Steamed Dumpling),Tofu Stir Fry,Protein Bar,muscle_gain
Oatmeal (Jaulo),Chapati with Sabzi,Curd Rice,Mixed Green Salad,muscle_gain
Muesli,Khichdi,Dal Bhat,Chatpate,weight_gain
Scrambled Eggs,Khichdi,Chicken Soup,Protein Bar,muscle_gain
Chiura (Beaten Rice),Chicken Curry,Dal Bhat,Sprouts Salad,muscle_gain
Muesli,Mixed Vegetable Curry,Saag (Leafy Green Curry),Sprouts Salad,weight_loss
Chiura (Beaten Rice),Gundruk,Curd Rice,Chatpate,weight_loss
Bara (Black Lentil Pancake),Mixed Vegetable Curry,Buff Choila,Yogurt (Dahi),maintenance
Bara (Black Lentil Pancake),Dal Bhat,Mutton Curry,Fruit Salad (Phalphul),muscle_gain
Idli,Khichdi,Chicken Soup,Roasted Corn (Bilaune Makai),muscle_gain
Scrambled Eggs,Gundruk,Fish Curry (Macha Ko Jhol),Roasted Corn (Bilaune Makai),weight_gain
Idli,Dal Bhat,Curd Rice,Chatpate,weight_gain
Muesli,Dal Bhat,Dal Bhat,Apple (Syau),muscle_gain
Scrambled Eggs,Paneer Curry,Mutton Curry,Fruit Salad (Phalphul),weight_gain
Oatmeal (Jaulo),Vegetable Biryani,Tofu Stir Fry,Popcorn,muscle_gain
Oatmeal (Jaulo),Chapati with Sabzi,Saag (Leafy Green Curry),Lapsi Candy (Hog Plum),weight_gain
Oatmeal (Jaulo),Aloo Tama (Potato Bamboo Curry),Fish Curry (Macha Ko Jhol),Banana (Kera),weight_loss
Sel Roti,Paneer Curry,Brown Rice,Yogurt (Dahi),weight_gain
Sel Roti,Dal Bhat,Vegetable Soup,Banana (Kera),maintenance
Scrambled Eggs,Paneer Curry,Vegetable Soup,Protein Bar,muscle_gain
Granola,Thukpa (Noodle Soup),Grilled Chicken Breast,Mixed Green Salad,muscle_gain
Cereal (Corn Flakes),Vegetable Biryani,Vegetable Soup,Sprouts Salad,muscle_gain
Granola,Vegetable Biryani,Tofu Stir Fry,Protein Bar,muscle_gain
Scrambled Eggs,Aloo Tama (Potato Bamboo Curry),Brown Rice,Lapsi Candy (Hog Plum),weight_gain
Bara (Black Lentil Pancake),Momo (Steamed Dumpling),Dal Bhat,Apple (Syau),muscle_gain
Chiura (Beaten Rice),Masoor Dal,Tofu Stir Fry,Mixed Green Salad,muscle_gain
Scrambled Eggs,Vegetable Biryani,Tofu Stir Fry,Popcorn,muscle_gain
Scrambled Eggs,Masoor Dal,Dal Bhat,Banana (Kera),weight_gain
Roti (Wheat Flatbread),Chicken Curry,Curd Rice,Mixed Green Salad,muscle_gain
Cereal (Corn Flakes),Vegetable Biryani,Tofu Stir Fry,Lapsi Candy (Hog Plum),weight_gain
Muesli,Momo (Steamed Dumpling),Tofu Stir Fry,Apple (Syau),weight_loss
Boiled Egg,Mixed Vegetable Curry,Saag (Leafy Green Curry),Apple (Syau),maintenance
Milk Tea (Chiya),Mixed Vegetable Curry,Curd Rice,Protein Bar,muscle_gain
Roti (Wheat Flatbread),Khichdi,Vegetable Soup,Sprouts Salad,weight_loss
Muesli,Chapati with Sabzi,Saag (Leafy Green Curry),Protein Bar,weight_gain
Muesli,Vegetable Biryani,Dal Bhat,Lapsi Candy (Hog Plum),maintenance
Roti (Wheat Flatbread),Momo (Steamed Dumpling),Tofu Stir Fry,Banana (Kera),weight_gain
Boiled Egg,Masoor Dal,Buff Choila,Chatpate,maintenance
Scrambled Eggs,Gundruk,Tofu Stir Fry,Peanuts (Badaam),weight_loss
Oatmeal (Jaulo),Vegetable Biryani,Vegetable Soup,Banana (Kera),weight_gain
Oatmeal (Jaulo),Khichdi,Chicken Soup,Apple (Syau),weight_gain
Roti (Wheat Flatbread),Khichdi,Mutton Curry,Apple (Syau),weight_loss
Muesli,Thukpa (Noodle Soup),Fish Curry (Macha Ko Jhol),Mixed Green Salad,weight_loss
Roti (Wheat Flatbread),Vegetable Biryani,Mutton Curry,Apple (Syau),muscle_gain
Oatmeal (Jaulo),Chicken Curry,Fish Curry (Macha Ko Jhol),Banana (Kera),weight_gain
Scrambled Eggs,Khichdi,Dal Bhat,Banana (Kera),muscle_gain
Bara (Black Lentil Pancake),Mixed Vegetable Curry,Roti (Wheat Flatbread),Apple (Syau),maintenance
Chiura (Beaten Rice),Masoor Dal,Saag (Leafy Green Curry),Apple (Syau),maintenance
Chiura (Beaten Rice),Momo (Steamed Dumpling),Grilled Chicken Breast,Peanuts (Badaam),weight_loss
Scrambled Eggs,Thukpa (Noodle Soup),Buff Choila,Yogurt (Dahi),weight_gain
Granola,Thukpa (Noodle Soup),Brown Rice,Banana (Kera),weight_loss
Sel Roti,Thukpa (Noodle Soup),Roti (Wheat Flatbread),Banana (Kera),muscle_gain
Milk Tea (Chiya),Mixed Vegetable Curry,Chicken Soup,Roasted Corn (Bilaune Makai),maintenance
Chiura (Beaten Rice),Dal Bhat,Buff Choila,Protein Bar,maintenance
Boiled Egg,Chicken Curry,Buff Choila,Chatpate,weight_gain
Boiled Egg,Chicken Curry,Curd Rice,Protein Bar,maintenance
Idli,Aloo Tama (Potato Bamboo Curry),Roti (Wheat Flatbread),Banana (Kera),weight_loss
Oatmeal (Jaulo),Mixed Vegetable Curry,Dal Bhat,Fruit Salad (Phalphul),weight_gain
Chiura (Beaten Rice),Mixed Vegetable Curry,Tofu Stir Fry,Lapsi Candy (Hog Plum),maintenance
Chiura (Beaten Rice),Chapati with Sabzi,Grilled Chicken Breast,Apple (Syau),weight_gain
Oatmeal (Jaulo),Vegetable Biryani,Fish Curry (Macha Ko Jhol),Fruit Salad (Phalphul),weight_loss
Milk Tea (Chiya),Paneer Curry,Curd Rice,Roasted Corn (Bilaune Makai),maintenance
Oatmeal (Jaulo),Masoor Dal,Chicken Soup,Peanuts (Badaam),weight_gain
Sel Roti,Masoor Dal,Saag (Leafy Green Curry),Lapsi Candy (Hog Plum),muscle_gain
Milk Tea (Chiya),Vegetable Biryani,Grilled Chicken Breast,Lapsi Candy (Hog Plum),weight_loss
Poha (Flattened Rice),Thukpa (Noodle Soup),Curd Rice,Roasted Corn (Bilaune Makai),weight_gain
Roti (Wheat Flatbread),Momo (Steamed Dumpling),Dal Bhat,Sprouts Salad,muscle_gain
Scrambled Eggs,Thukpa (Noodle Soup),Dal Bhat,Sprouts Salad,weight_loss
Muesli,Aloo Tama (Potato Bamboo Curry),Buff Choila,Popcorn,maintenance
Chiura (Beaten Rice),Khichdi,Roti (Wheat Flatbread),Mixed Green Salad,weight_gain
Oatmeal (Jaulo),Dal Bhat,Buff Choila,Yogurt (Dahi),weight_loss
Idli,Mixed Vegetable Curry,Fish Curry (Macha Ko Jhol),Popcorn,weight_loss
Granola,Momo (Steamed Dumpling),Saag (Leafy Green Curry),Fruit Salad (Phalphul),weight_loss
