breakfast,lunch,dinner,snack,nutrition_goal
Roti (Wheat Flatbread),Khichdi,Roti (Wheat Flatbread),Peanuts (Badaam),maintenance
Oatmeal (Jaulo),Thukpa (Noodle Soup),Tofu Stir Fry,Chatpate,muscle_gain
Scrambled Eggs,Paneer Curry,Grilled Chicken Breast,Lapsi Candy (Hog Plum),weight_loss
Oatmeal (Jaulo),Gundruk,Fish Curry (Macha Ko Jhol),Sprouts Salad,weight_gain
Chiura (Beaten Rice),Khichdi,Curd Rice,Popcorn,weight_gain
Milk Tea (Chiya),Momo (Steamed Dumpling),Chicken Soup,Chatpate,weight_loss
Roti (Wheat Flatbread),Aloo Tama (Potato Bamboo Curry),Dal Bhat,Chatpate,weight_gain
Scrambled Eggs,Khichdi,Grilled Chicken Breast,Mixed Green Salad,weight_gain
Roti (Wheat Flatbread),Paneer Curry,Tofu Stir Fry,Fruit Salad (Phalphul),weight_loss
Sel Roti,Gundruk,Mutton Curry,Peanuts (Badaam),maintenance
Chiura (Beaten Rice),Chapati with Sabzi,Dal Bhat,Popcorn,maintenance
Oatmeal (Jaulo),Thukpa (Noodle Soup),Chicken Soup,Fruit Salad (Phalphul),weight_loss
Cereal (Corn Flakes),Dal Bhat,Mutton Curry,Sprouts Salad,maintenance
Oatmeal (Jaulo),Chapati with Sabzi,Brown Rice,Peanuts (Badaam),maintenance
Chiura (Beaten Rice),Momo (Steamed Dumpling),Buff Choila,Banana (Kera),muscle_gain
Roti (Wheat Flatbread),Gundruk,Chicken Soup,Banana (Kera),maintenance
Chiura (Beaten Rice),Gundruk,Brown Rice,Roasted Corn (Bilaune Makai),weight_gain
Roti (Wheat Flatbread),Dal Bhat,Brown Rice,Apple (Syau),maintenance
Muesli,Dal Bhat,Tofu Stir Fry,Popcorn,maintenance
Cereal (Corn Flakes),Thukpa (Noodle Soup),Roti (Wheat Flatbread),Yogurt (Dahi),muscle_gain
Cereal (Corn Flakes),Masoor Dal,Mutton Curry,Peanuts (Badaam),weight_gain
Idli,Masoor Dal,Fish Curry (Macha Ko Jhol),Protein Bar,maintenance
Roti (Wheat Flatbread),Gundruk,Tofu Stir Fry,Mixed Green Salad,maintenance
Poha (Flattened Rice),Aloo Tama (Potato Bamboo Curry),Buff Choila,Chatpate,weight_gain
Idli,Paneer Curry,Chicken Soup,Mixed Green Salad,maintenance
Sel Roti,Vegetable Biryani,Fish Curry (Macha Ko Jhol),Mixed Green Salad,maintenance
Granola,Aloo Tama (Potato Bamboo Curry),Dal Bhat,Peanuts (Badaam),weight_gain
Chiura (Beaten Rice),Chapati with Sabzi,Fish Curry (Macha Ko Jhol),Popcorn,maintenance
Cereal (Corn Flakes),Chapati with Sabzi,Dal Bhat,Fruit Salad (Phalphul),muscle_gain
Scrambled Eggs,Aloo Tama (Potato Bamboo Curry),Chicken Soup,Popcorn,weight_gain
Granola,Mixed Vegetable Curry,Roti (Wheat Flatbread),Fruit Salad (Phalphul),weight_gain
Milk Tea (Chiya),Vegetable Biryani,Curd Rice,Mixed Green Salad,muscle_gain
Poha (Flattened Rice),Dal Bhat,Tofu Stir Fry,Yogurt (Dahi),weight_loss
Poha (Flattened Rice),Thukpa (Noodle Soup),Fish Curry (Macha Ko Jhol),Apple (Syau),weight_gain
Muesli,Aloo Tama (Potato Bamboo Curry),Buff Choila,Fruit Salad (Phalphul),weight_loss
Scrambled Eggs,Chapati with Sabzi,Dal Bhat,Apple (Syau),maintenance
Muesli,Mixed Vegetable Curry,Grilled Chicken Breast,Banana (Kera),muscle_gain
Muesli,Momo (Steamed Dumpling),Vegetable Soup,Apple (Syau),weight_gain
Muesli,Aloo Tama (Potato Bamboo Curry),Buff Choila,Mixed Green Salad,maintenance
Scrambled Eggs,Aloo Tama (Potato Bamboo Curry),Roti (Wheat Flatbread),Banana (Kera),weight_loss
Boiled Egg,Momo (Steamed Dumpling),Tofu Stir Fry,Protein Bar,weight_loss
Granola,Aloo Tama (Potato Bamboo Curry),Chicken Soup,Apple (Syau),weight_loss
Oatmeal (Jaulo),Khichdi,Buff Choila,Apple (Syau),weight_loss
Poha (Flattened Rice),Thukpa (Noodle Soup),Curd Rice,Roasted Corn (Bilaune Makai),weight_loss
Cereal (Corn Flakes),Khichdi,Dal Bhat,Chatpate,muscle_gain
Boiled Egg,Momo (Steamed Dumpling),Brown Rice,Lapsi Candy (Hog Plum),weight_loss
Sel Roti,Vegetable Biryani,Tofu Stir Fry,Apple (Syau),muscle_gain
Granola,Mixed Vegetable Curry,Roti (Wheat Flatbread),Apple (Syau),weight_loss
Milk Tea (Chiya),Masoor Dal,Brown Rice,Peanuts (Badaam),weight_gain
Cereal (Corn Flakes),Masoor Dal,Chicken Soup,Banana (Kera),weight_loss
Muesli,Thukpa (Noodle Soup),Tofu Stir Fry,Fruit Salad (Phalphul),weight_loss
Poha (Flattened Rice),Momo (Steamed Dumpling),Chicken Soup,Banana (Kera),muscle_gain
Granola,Thukpa (Noodle Soup),Roti (Wheat Flatbread),Fruit Salad (Phalphul),maintenance
Scrambled Eggs,Vegetable Biryani,Saag (Leafy Green Curry),Yogurt (Dahi),maintenance
Sel Roti,Dal Bhat,Chicken Soup,Popcorn,muscle_gain
Idli,Dal Bhat,Vegetable Soup,Protein Bar,weight_loss
Idli,Chicken Curry,Fish Curry (Macha Ko Jhol),Banana (Kera),muscle_gain
Poha (Flattened Rice),Gundruk,Saag (Leafy Green Curry),Popcorn,weight_loss
Granola,Mixed Vegetable Curry,Brown Rice,Protein Bar,maintenance
Granola,Vegetable Biryani,Grilled Chicken Breast,Roasted Corn (Bilaune Makai),muscle_gain
Oatmeal (Jaulo),Aloo Tama (Potato Bamboo Curry),Dal Bhat,Lapsi Candy (Hog Plum),weight_loss
Boiled Egg,Momo (Steamed Dumpling),Curd Rice,Mixed Green Salad,weight_loss
Chiura (Beaten Rice),Vegetable Biryani,Vegetable Soup,Apple (Syau),maintenance
Sel Roti,Chicken Curry,Saag (Leafy Green Curry),Roasted Corn (Bilaune Makai),maintenance
Muesli,Vegetable Biryani,Chicken Soup,Roasted Corn (Bilaune Makai),muscle_gain
Cereal (Corn Flakes),Khichdi,Brown Rice,Chatpate,weight_loss
Sel Roti,Chapati with Sabzi,Roti (Wheat Flatbread),Apple (Syau),weight_gain
Chiura (Beaten Rice),Dal Bhat,Grilled Chicken Breast,Sprouts Salad,weight_loss
Bara (Black Lentil Pancake),Khichdi,Brown Rice,Yogurt (Dahi),weight_gain
Roti (Wheat Flatbread),Vegetable Biryani,Curd Rice,Popcorn,weight_gain
Idli,Chapati with Sabzi,Brown Rice,Roasted Corn (Bilaune Makai),weight_loss
Milk Tea (Chiya),Masoor Dal,Grilled Chicken Breast,Lapsi Candy (Hog Plum),weight_gain
Granola,Chapati with Sabzi,Fish Curry (Macha Ko Jhol),Lapsi Candy (Hog Plum),muscle_gain
Poha (Flattened Rice),Masoor Dal,Grilled Chicken Breast,Fruit Salad (Phalphul),muscle_gain
Idli,Mixed Vegetable Curry,Dal Bhat,Fruit Salad (Phalphul),weight_gain
Boiled Egg,Mixed Vegetable Curry,Vegetable Soup,Popcorn,weight_loss
Cereal (Corn Flakes),Khichdi,Roti (Wheat Flatbread),Banana (Kera),maintenance
Chiura (Beaten Rice),Aloo Tama (Potato Bamboo Curry),Brown Rice,Mixed Green Salad,muscle_gain
Boiled Egg,Aloo Tama (Potato Bamboo Curry),Grilled Chicken Breast,Lapsi Candy (Hog Plum),muscle_gain
Boiled Egg,Dal Bhat,Tofu Stir Fry,Lapsi Candy (Hog Plum),maintenance
Bara (Black Lentil Pancake),Momo (Steamed Dumpling),Buff Choila,Chatpate,maintenance
Boiled Egg,Chicken Curry,Saag (Leafy Green Curry),Protein Bar,weight_gain
Sel Roti,Khichdi,Mutton Curry,Roasted Corn (Bilaune Makai),weight_gain
Chiura (Beaten Rice),Paneer Curry,Mutton Curry,Apple (Syau),weight_gain
Scrambled Eggs,Paneer Curry,Buff Choila,Apple (Syau),muscle_gain
Boiled Egg,Thukpa (Noodle Soup),Grilled Chicken Breast,Mixed Green Salad,maintenance
Roti (Wheat Flatbread),Aloo Tama (Potato Bamboo Curry),Mutton Curry,Chatpate,weight_loss
Oatmeal (Jaulo),Thukpa (Noodle Soup),Curd Rice,Roasted Corn (Bilaune Makai),weight_loss
Scrambled Eggs,Chapati with Sabzi,Curd Rice,Mixed Green Salad,muscle_gain
Poha (Flattened Rice),Masoor Dal,Grilled Chicken Breast,Apple (Syau),weight_loss
Oatmeal (Jaulo),Vegetable Biryani,Saag (Leafy Green Curry),Mixed Green Salad,muscle_gain
Idli,Thukpa (Noodle Soup),Grilled Chicken Breast,Chatpate,weight_gain
Idli,Vegetable Biryani,Curd Rice,Yogurt (Dahi),muscle_gain
Granola,Paneer Curry,Buff Choila,Peanuts (Badaam),weight_gain
Scrambled Eggs,Chicken Curry,Saag (Leafy Green Curry),Banana (Kera),maintenance
Idli,Vegetable Biryani,Curd Rice,Lapsi Candy (Hog Plum),muscle_gain
Oatmeal (Jaulo),Masoor Dal,Dal Bhat,Chatpate,maintenance
Idli,Chicken Curry,Saag (Leafy Green Curry),Yogurt (Dahi),muscle_gain
Sel Roti,Aloo Tama (Potato Bamboo Curry),Curd Rice,Banana (Kera),maintenance
Milk Tea (Chiya),Vegetable Biryani,Vegetable Soup,Peanuts (Badaam),weight_loss
Chiura (Beaten Rice),Chapati with Sabzi,Mutton Curry,Yogurt (Dahi),weight_loss
Granola,Dal Bhat,Mutton Curry,Roasted Corn (Bilaune Makai),maintenance
Poha (Flattened Rice),Vegetable Biryani,Buff Choila,Chatpate,weight_loss
Granola,Masoor Dal,Tofu Stir Fry,Protein Bar,maintenance
Bara (Black Lentil Pancake),Paneer Curry,Buff Choila,Fruit Salad (Phalphul),maintenance
Roti (Wheat Flatbread),Gundruk,Brown Rice,Mixed Green Salad,weight_gain
Oatmeal (Jaulo),Masoor Dal,Dal Bhat,Protein Bar,maintenance
Bara (Black Lentil Pancake),Masoor Dal,Grilled Chicken Breast,Mixed Green Salad,muscle_gain
Scrambled Eggs,Chicken Curry,Curd Rice,Yogurt (Dahi),weight_loss
Muesli,Gundruk,Chicken Soup,Chatpate,weight_gain
Granola,Paneer Curry,Vegetable Soup,Lapsi Candy (Hog Plum),maintenance
Scrambled Eggs,Thukpa (Noodle Soup),Fish Curry (Macha Ko Jhol),Roasted Corn (Bilaune Makai),maintenance
Chiura (Beaten Rice),Chicken Curry,Saag (Leafy Green Curry),Chatpate,muscle_gain
Sel Roti,Chicken Curry,Grilled Chicken Breast,Peanuts (Badaam),maintenance
Scrambled Eggs,Khichdi,Chicken Soup,Roasted Corn (Bilaune Makai),weight_gain
Scrambled Eggs,Chicken Curry,Brown Rice,Apple (Syau),muscle_gain
Chiura (Beaten Rice),Aloo Tama (Potato Bamboo Curry),Tofu Stir Fry,Peanuts (Badaam),maintenance
Chiura (Beaten Rice),Masoor Dal,Saag (Leafy Green Curry),Sprouts Salad,maintenance
Granola,Thukpa (Noodle Soup),Brown Rice,Apple (Syau),weight_loss
Cereal (Corn Flakes),Gundruk,Fish Curry (Macha Ko Jhol),Chatpate,weight_gain
Oatmeal (Jaulo),Thukpa (Noodle Soup),Saag (Leafy Green Curry),Mixed Green Salad,weight_loss
Idli,Paneer Curry,Grilled Chicken Breast,Apple (Syau),weight_gain
Chiura (Beaten Rice),Thukpa (Noodle Soup),Grilled Chicken Breast,Apple (Syau),weight_gain
Oatmeal (Jaulo),Khichdi,Curd Rice,Yogurt (Dahi),maintenance
Idli,Chapati with Sabzi,Curd Rice,Popcorn,maintenance
Scrambled Eggs,Dal Bhat,Mutton Curry,Sprouts Salad,weight_loss
Muesli,Dal Bhat,Vegetable Soup,Sprouts Salad,weight_gain
Muesli,Mixed Vegetable Curry,Chicken Soup,Yogurt (Dahi),muscle_gain
Muesli,Dal Bhat,Saag (Leafy Green Curry),Apple (Syau),muscle_gain
Cereal (Corn Flakes),Khichdi,Roti (Wheat Flatbread),Yogurt (Dahi),maintenance
Boiled Egg,Chicken Curry,Tofu Stir Fry,Mixed Green Salad,weight_gain
Muesli,Masoor Dal,Tofu Stir Fry,Mixed Green Salad,weight_loss
Scrambled Eggs,Dal Bhat,Tofu Stir Fry,Fruit Salad (Phalphul),maintenance
Oatmeal (Jaulo),Vegetable Biryani,Roti (Wheat Flatbread),Roasted Corn (Bilaune Makai),weight_loss
Bara (Black Lentil Pancake),Paneer Curry,Chicken Soup,Peanuts (Badaam),weight_gain
Scrambled Eggs,Thukpa (Noodle Soup),Tofu Stir Fry,Peanuts (Badaam),weight_gain
Idli,Mixed Vegetable Curry,Tofu Stir Fry,Roasted Corn (Bilaune Makai),muscle_gain
Scrambled Eggs,Khichdi,Mutton Curry,Popcorn,muscle_gain
Scrambled Eggs,Momo (Steamed Dumpling),Mutton Curry,Yogurt (Dahi),weight_gain
Scrambled Eggs,Paneer Curry,Curd Rice,Popcorn,maintenance
Milk Tea (Chiya),Aloo Tama (Potato Bamboo Curry),Tofu Stir Fry,Lapsi Candy (Hog Plum),maintenance
Granola,Gundruk,Roti (Wheat Flatbread),Banana (Kera),weight_loss
Scrambled Eggs,Khichdi,Mutton Curry,Mixed Green Salad,weight_loss
Granola,Aloo Tama (Potato Bamboo Curry),Dal Bhat,Apple (Syau),muscle_gain
Cereal (Corn Flakes),Vegetable Biryani,Vegetable Soup,Sprouts Salad,maintenance
Sel Roti,Momo (Steamed Dumpling),Tofu Stir Fry,Fruit Salad (Phalphul),muscle_gain
Chiura (Beaten Rice),Masoor Dal,Curd Rice,Popcorn,weight_loss
Roti (Wheat Flatbread),Chicken Curry,Brown Rice,Fruit Salad (Phalphul),muscle_gain
Chiura (Beaten Rice),Momo (Steamed Dumpling),Grilled Chicken Breast,Sprouts Salad,weight_gain
Cereal (Corn Flakes),Paneer Curry,Buff Choila,Roasted Corn (Bilaune Makai),muscle_gain
Oatmeal (Jaulo),Aloo Tama (Potato Bamboo Curry),Dal Bhat,Yogurt (Dahi),maintenance
Chiura (Beaten Rice),Chicken Curry,Roti (Wheat Flatbread),Popcorn,weight_gain
Roti (Wheat Flatbread),Dal Bhat,Fish Curry (Macha Ko Jhol),Yogurt (Dahi),weight_loss
Sel Roti,Vegetable Biryani,Vegetable Soup,Mixed Green Salad,weight_gain
Chiura (Beaten Rice),Masoor Dal,Vegetable Soup,Apple (Syau),weight_loss
Oatmeal (Jaulo),Thukpa (Noodle Soup),Mutton Curry,Peanuts (Badaam),weight_gain
Chiura (Beaten Rice),Thukpa (Noodle Soup),Vegetable Soup,Yogurt (Dahi),muscle_gain
Sel Roti,Thukpa (Noodle Soup),Roti (Wheat Flatbread),Mixed Green Salad,maintenance
Oatmeal (Jaulo),Gundruk,Vegetable Soup,Lapsi Candy (Hog Plum),weight_loss
Oatmeal (Jaulo),Dal Bhat,Roti (Wheat Flatbread),Popcorn,weight_loss
Scrambled Eggs,Chapati with Sabzi,Roti (Wheat Flatbread),Lapsi Candy (Hog Plum),weight_gain
Muesli,Chicken Curry,Grilled Chicken Breast,Lapsi Candy (Hog Plum),maintenance
Chiura (Beaten Rice),Aloo Tama (Potato Bamboo Curry),Saag (Leafy Green Curry),Popcorn,weight_loss
Sel Roti,Dal Bhat,Brown Rice,Banana (Kera),weight_loss
Cereal (Corn Flakes),Khichdi,Dal Bhat,Fruit Salad (Phalphul),weight_loss
Milk Tea (Chiya),Gundruk,Chicken Soup,Fruit Salad (Phalphul),muscle_gain
Milk Tea (Chiya),Dal Bhat,Buff Choila,Popcorn,weight_gain
Roti (Wheat Flatbread),Chicken Curry,Dal Bhat,Banana (Kera),weight_gain
Boiled Egg,Dal Bhat,Curd Rice,Protein Bar,muscle_gain
Milk Tea (Chiya),Paneer Curry,Mutton Curry,Protein Bar,weight_loss
Bara (Black Lentil Pancake),Aloo Tama (Potato Bamboo Curry),Mutton Curry,Chatpate,muscle_gain
Chiura (Beaten Rice),Thukpa (Noodle Soup),Curd Rice,Yogurt (Dahi),weight_loss
Sel Roti,Chapati with Sabzi,Roti (Wheat Flatbread),Peanuts (Badaam),maintenance
Cereal (Corn Flakes),Khichdi,Chicken Soup,Fruit Salad (Phalphul),muscle_gain
Bara (Black Lentil Pancake),Dal Bhat,Vegetable Soup,Banana (Kera),maintenance
Scrambled Eggs,Paneer Curry,Vegetable Soup,Fruit Salad (Phalphul),weight_loss
Bara (Black Lentil Pancake),Mixed Vegetable Curry,Grilled Chicken Breast,Peanuts (Badaam),weight_gain
Roti (Wheat Flatbread),Aloo Tama (Potato Bamboo Curry),Dal Bhat,Apple (Syau),maintenance
Poha (Flattened Rice),Dal Bhat,Buff Choila,Roasted Corn (Bilaune Makai),weight_gain
Muesli,Aloo Tama (Potato Bamboo Curry),Vegetable Soup,Apple (Syau),weight_loss
Milk Tea (Chiya),Chapati with Sabzi,Mutton Curry,Lapsi Candy (Hog Plum),maintenance
Bara (Black Lentil Pancake),Thukpa (Noodle Soup),Mutton Curry,Banana (Kera),weight_loss
Roti (Wheat Flatbread),Khichdi,Mutton Curry,Lapsi Candy (Hog Plum),muscle_gain
